counter,av_current, av_target, spd,av_current, av_target, spd,av_current, av_target, spd
3,350.16,340.00,0.41,379.09,340.00,0.15,382.08,340.00,0.14
4,356.64,340.00,0.35,379.32,340.00,0.07,380.75,340.00,0.07
5,355.33,340.00,0.32,373.32,340.00,0.04,373.62,340.00,0.04
6,349.65,340.00,0.33,366.04,340.00,0.02,365.59,340.00,0.03
7,350.56,340.00,0.31,353.49,340.00,0.06,352.69,340.00,0.06
8,344.30,350.00,0.54,348.53,350.00,0.51,344.19,350.00,0.54
1,346.03,350.00,0.54,351.51,350.00,0.49,354.47,350.00,0.48
2,358.79,350.00,0.46,380.71,350.00,0.28,383.11,350.00,0.27
3,362.65,350.00,0.41,392.71,350.00,0.14,393.27,350.00,0.13
4,366.99,350.00,0.36,390.25,350.00,0.07,390.94,350.00,0.06
5,363.68,350.00,0.35,383.47,350.00,0.04,381.20,350.00,0.05
6,362.85,350.00,0.33,375.14,350.00,0.03,372.77,350.00,0.05
7,360.62,350.00,0.32,367.65,350.00,0.03,362.79,350.00,0.07
8,352.83,360.00,0.56,357.25,360.00,0.53,355.23,360.00,0.55
1,357.55,360.00,0.55,364.10,360.00,0.49,361.27,360.00,0.51
2,370.43,360.00,0.46,390.20,360.00,0.30,392.10,360.00,0.30
3,373.67,360.00,0.42,404.60,360.00,0.14,408.91,360.00,0.11
4,376.43,360.00,0.37,404.48,360.00,0.05,403.62,360.00,0.05
5,375.35,360.00,0.34,395.52,360.00,0.02,397.51,360.00,0.01
6,372.71,360.00,0.33,388.01,360.00,0.01,383.37,360.00,0.03
7,367.65,360.00,0.34,376.85,360.00,0.03,374.77,360.00,0.05
8,366.57,370.00,0.55,368.30,370.00,0.54,366.69,370.00,0.55
1,366.73,370.00,0.56,375.18,370.00,0.50,374.02,370.00,0.51
2,378.37,370.00,0.48,401.40,370.00,0.30,398.11,370.00,0.33
3,381.80,370.00,0.44,412.31,370.00,0.16,416.53,370.00,0.15
